"Empel, c. a." , x, , , , , 
"Engelen" , x, x, x, x, x, 
"Enkhuizen" , x, , , , , x
"Enschede" , x, , , , , 
"Epe" , x, , , , , 
"Ermelo" , x, , , , , 
"Erp" , x, x, x, x, x, 
"Esch" , x, x, x, x, x, 
"Escharen" , x, x, x, , x, 
"Eschharen" , , , , x, , 
"Est en Opijnen" , x, , , , , x
"Etten c.a." , , , x, , , 
"Etten en Leur" , x, x, , x, x, 
"Etten en leur" , , , , x, , 
"Everdingen" , x, , , , , 
"Ewijk" , x, , , , , 
"Ezinge" , x, , , , , 
"FERWERDERADEEL" , , , , , , x
"FIJNAART c.a." , , , , , , x
"FINSTERWOLDE" , , , , , , x
"FRANEKER" , , , , , , x
"FRANEKERADEEL" , , , , , , x
"Ferwerderadeel" , x, , , , , 
"Fijnaart" , , , x, , , 
"Fijnaart c.a." , , x, , , x, 
"Fijnaart en Heiningen" , , , , x, , 
"Fijnaart, c. a." , x, , , , , 
"Finsterwolde" , x, , , , , 
"Fort Bath en Bath" , x, , , , , 
"Franeker" , x, , , , , 
"Franekeradeel" , x, , , , , 
"Friesland" , x, , , , , 
"GAASTERLAND" , , , , , , x
"GASSEL" , , , , , , x
"GEERTRUIDENBERG" , , , , , , x
"GEERVLIET" , , , , , , x
"GEFFEN" , , , , , , x
"GELDERMALSEN" , , , , , , x
"GELDROP" , , , , , , x
"GEMERT" , , , , , , x
"GENDEREN c.a." , , , , , , x
"GENDRINGEN" , , , , , , x
"GENEMUIDEN" , , , , , , x
"GENNEP" , , , , , , x
"GENT" , , , , , , x
"GESTEL c.a" , , , , , , x
"GEULLE" , , , , , , x
"GIESSEN" , , , , , , x
"GIESSEN- NIEUWKERK" , , , , , , x
"GIETEN" , , , , , , x
"GIETHOORN" , , , , , , x
"GILZE-RIJEN" , , , , , , x
"GINNEKEN  c.a." , , , , , , x
"GIORLE" , , , , , , x
"GOEDEREEDE" , , , , , , x
"GOES" , , , , , , x
"GOOR" , , , , , , x
"GORINCHEM" , , , , , , x
"GORSSEL" , , , , , , x
"GOUDA" , , , , , , x
"GOUDERAK" , , , , , , x
"GOUDERIAAN" , , , , , , x
"GOUDSWAARD" , , , , , , x
"GRAAUW EN LANGENDAM" , , , , , , x
"GRAFHORST" , , , , , , x
"GRAFT" , , , , , , x
